name_dept,cod_dept,name_municipio,cod_municipio
Antioquia,5,Medellin,5001
Antioquia,5,Abejorral,5002
Antioquia,5,Abriaqui,5004
Antioquia,5,Alejandria,5021
Antioquia,5,Amaga,5030
Antioquia,5,Amalfi,5031
Antioquia,5,Andes,5034
Antioquia,5,Angelopolis,5036
Antioquia,5,Angostura,5038
Antioquia,5,Anori,5040
Antioquia,5,Santafe de Antioquia,5042
Antioquia,5,Anza,5044
Antioquia,5,Apartado,5045
Antioquia,5,Arboletes,5051
Antioquia,5,Argelia,5055
Antioquia,5,Armenia,5059
Antioquia,5,Barbosa,5079
Antioquia,5,Belmira,5086
Antioquia,5,Bello,5088
Antioquia,5,Betania,5091
Antioquia,5,Betulia,5093
Antioquia,5,Ciudad Bolivar,5101
Antioquia,5,Briceno,5107
Antioquia,5,Buritica,5113
Antioquia,5,Caceres,5120
Antioquia,5,Caicedo,5125
Antioquia,5,Caldas,5129
Antioquia,5,Campamento,5134
Antioquia,5,Canasgordas,5138
Antioquia,5,Caracoli,5142
Antioquia,5,Caramanta,5145
Antioquia,5,Carepa,5147
Antioquia,5,El Carmen de Viboral,5148
Antioquia,5,Carolina,5150
Antioquia,5,Caucasia,5154
Antioquia,5,Chigorodo,5172
Antioquia,5,Cisneros,5190
Antioquia,5,Cocorna,5197
Antioquia,5,Concepcion,5206
Antioquia,5,Concordia,5209
Antioquia,5,Copacabana,5212
Antioquia,5,Dabeiba,5234
Antioquia,5,Don Matias,5237
Antioquia,5,Ebejico,5240
Antioquia,5,El Bagre,5250
Antioquia,5,Entrerrios,5264
Antioquia,5,Envigado,5266
Antioquia,5,Fredonia,5282
Antioquia,5,Frontino,5284
Antioquia,5,Giraldo,5306
Antioquia,5,Girardota,5308
Antioquia,5,Gomez Plata,5310
Antioquia,5,Granada,5313
Antioquia,5,Guadalupe,5315
Antioquia,5,Guarne,5318
Antioquia,5,Guatape,5321
Antioquia,5,Heliconia,5347
Antioquia,5,Hispania,5353
Antioquia,5,Itagüi,5360
Antioquia,5,Ituango,5361
Antioquia,5,Jardin,5364
Antioquia,5,Jerico,5368
Antioquia,5,La Ceja,5376
Antioquia,5,La Estrella,5380
Antioquia,5,La Pintada,5390
Antioquia,5,La Union,5400
Antioquia,5,Liborina,5411
Antioquia,5,Maceo,5425
Antioquia,5,Marinilla,5440
Antioquia,5,Montebello,5467
Antioquia,5,Murindo,5475
Antioquia,5,Mutata,5480
Antioquia,5,Narino,5483
Antioquia,5,Necocli,5490
Antioquia,5,Nechi,5495
Antioquia,5,Olaya,5501
Antioquia,5,Penol,5541
Antioquia,5,Peque,5543
Antioquia,5,Pueblorrico,5576
Antioquia,5,Puerto Berrio,5579
Antioquia,5,Puerto Nare,5585
Antioquia,5,Puerto Triunfo,5591
Antioquia,5,Remedios,5604
Antioquia,5,Retiro,5607
Antioquia,5,Rionegro,5615
Antioquia,5,Sabanalarga,5628
Antioquia,5,Sabaneta,5631
Antioquia,5,Salgar,5642
Antioquia,5,San Andres,5647
Antioquia,5,San Carlos,5649
Antioquia,5,San Francisco,5652
Antioquia,5,San Jeronimo,5656
Antioquia,5,San Jose de la Montaña,5658
Antioquia,5,San Juan de Uraba,5659
Antioquia,5,San Luis,5660
Antioquia,5,San Pedro,5664
Antioquia,5,San Pedro de Uraba,5665
Antioquia,5,San Rafael,5667
Antioquia,5,San Roque,5670
Antioquia,5,San Vicente,5674
Antioquia,5,Santa Barbara,5679
Antioquia,5,Santa Rosa de Osos,5686
Antioquia,5,Santo Domingo,5690
Antioquia,5,El Santuario,5697
Antioquia,5,Segovia,5736
Antioquia,5,Sonson,5756
Antioquia,5,Sopetran,5761
Antioquia,5,Tamesis,5789
Antioquia,5,Taraza,5790
Antioquia,5,Tarso,5792
Antioquia,5,Titiribi,5809
Antioquia,5,Toledo,5819
Antioquia,5,Turbo,5837
Antioquia,5,Uramita,5842
Antioquia,5,Urrao,5847
Antioquia,5,Valdivia,5854
Antioquia,5,Valparaiso,5856
Antioquia,5,Vegachi,5858
Antioquia,5,Venecia,5861
Antioquia,5,Vigia del Fuerte,5873
Antioquia,5,Yali,5885
Antioquia,5,Yarumal,5887
Antioquia,5,Yolombo,5890
Antioquia,5,Yondo,5893
Antioquia,5,Zaragoza,5895
Atlantico,8,Barranquilla,8001
Atlantico,8,Baranoa,8078
Atlantico,8,Campo de la Cruz,8137
Atlantico,8,Candelaria,8141
Atlantico,8,Galapa,8296
Atlantico,8,Juan de Acosta,8372
Atlantico,8,Luruaco,8421
Atlantico,8,Malambo,8433
Atlantico,8,Manati,8436
Atlantico,8,Palmar de Varela,8520
Atlantico,8,Piojo,8549
Atlantico,8,Polonuevo,8558
Atlantico,8,Ponedera,8560
Atlantico,8,Puerto Colombia,8573
Atlantico,8,Repelon,8606
Atlantico,8,Sabanagrande,8634
Atlantico,8,Sabanalarga,8638
Atlantico,8,Santa Lucia,8675
Atlantico,8,Santo Tomas,8685
Atlantico,8,Soledad,8758
Atlantico,8,Suan,8770
Atlantico,8,Tubara,8832
Atlantico,8,Usiacuri,8849
Bogota D.C.,11,"Bogota, D.C.",11001
Bolivar,13,Cartagena,13001
Bolivar,13,Achi,13006
Bolivar,13,Altos del Rosario,13030
Bolivar,13,Arenal,13042
Bolivar,13,Arjona,13052
Bolivar,13,Arroyohondo,13062
Bolivar,13,Barranco de Loba,13074
Bolivar,13,Calamar,13140
Bolivar,13,Cantagallo,13160
Bolivar,13,Cicuco,13188
Bolivar,13,Cordoba,13212
Bolivar,13,Clemencia,13222
Bolivar,13,El Carmen de Bolivar,13244
Bolivar,13,El Guamo,13248
Bolivar,13,El Peñon,13268
Bolivar,13,Hatillo de Loba,13300
Bolivar,13,Magangue,13430
Bolivar,13,Mahates,13433
Bolivar,13,Margarita,13440
Bolivar,13,Maria la Baja,13442
Bolivar,13,Montecristo,13458
Bolivar,13,Mompos,13468
Bolivar,13,Morales,13473
Bolivar,13,Norosi,13490
Bolivar,13,Pinillos,13549
Bolivar,13,Regidor,13580
Bolivar,13,Rio Viejo,13600
Bolivar,13,San Cristobal,13620
Bolivar,13,San Estanislao,13647
Bolivar,13,San Fernando,13650
Bolivar,13,San Jacinto,13654
Bolivar,13,San Jacinto del Cauca,13655
Bolivar,13,San Juan Nepomuceno,13657
Bolivar,13,San Martin de Loba,13667
Bolivar,13,San Pablo,13670
Bolivar,13,Santa Catalina,13673
Bolivar,13,Santa Rosa,13683
Bolivar,13,Santa Rosa del Sur,13688
Bolivar,13,Simiti,13744
Bolivar,13,Soplaviento,13760
Bolivar,13,Talaigua Nuevo,13780
Bolivar,13,Tiquisio,13810
Bolivar,13,Turbaco,13836
Bolivar,13,Turbana,13838
Bolivar,13,Villanueva,13873
Bolivar,13,Zambrano,13894
Boyaca,15,Tunja,15001
Boyaca,15,Almeida,15022
Boyaca,15,Aquitania,15047
Boyaca,15,Arcabuco,15051
Boyaca,15,Belen,15087
Boyaca,15,Berbeo,15090
Boyaca,15,Beteitiva,15092
Boyaca,15,Boavita,15097
Boyaca,15,Boyaca,15104
Boyaca,15,Briceno,15106
Boyaca,15,Buenavista,15109
Boyaca,15,Busbanza,15114
Boyaca,15,Caldas,15131
Boyaca,15,Campohermoso,15135
Boyaca,15,Cerinza,15162
Boyaca,15,Chinavita,15172
Boyaca,15,Chiquinquira,15176
Boyaca,15,Chiscas,15180
Boyaca,15,Chita,15183
Boyaca,15,Chitaraque,15185
Boyaca,15,Chivata,15187
Boyaca,15,Cienega,15189
Boyaca,15,Combita,15204
Boyaca,15,Coper,15212
Boyaca,15,Corrales,15215
Boyaca,15,Covarachia,15218
Boyaca,15,Cubara,15223
Boyaca,15,Cucaita,15224
Boyaca,15,Cuitiva,15226
Boyaca,15,Chiquiza,15232
Boyaca,15,Chivor,15236
Boyaca,15,Duitama,15238
Boyaca,15,El Cocuy,15244
Boyaca,15,El Espino,15248
Boyaca,15,Firavitoba,15272
Boyaca,15,Floresta,15276
Boyaca,15,Gachantiva,15293
Boyaca,15,Gameza,15296
Boyaca,15,Garagoa,15299
Boyaca,15,Guacamayas,15317
Boyaca,15,Guateque,15322
Boyaca,15,Guayata,15325
Boyaca,15,Güican,15332
Boyaca,15,Iza,15362
Boyaca,15,Jenesano,15367
Boyaca,15,Jerico,15368
Boyaca,15,Labranzagrande,15377
Boyaca,15,La Capilla,15380
Boyaca,15,La Victoria,15401
Boyaca,15,La Uvita,15403
Boyaca,15,Villa de Leyva,15407
Boyaca,15,Macanal,15425
Boyaca,15,Maripi,15442
Boyaca,15,Miraflores,15455
Boyaca,15,Mongua,15464
Boyaca,15,Mongui,15466
Boyaca,15,Moniquira,15469
Boyaca,15,Motavita,15476
Boyaca,15,Muzo,15480
Boyaca,15,Nobsa,15491
Boyaca,15,Nuevo Colon,15494
Boyaca,15,Oicata,15500
Boyaca,15,Otanche,15507
Boyaca,15,Pachavita,15511
Boyaca,15,Paez,15514
Boyaca,15,Paipa,15516
Boyaca,15,Pajarito,15518
Boyaca,15,Panqueba,15522
Boyaca,15,Pauna,15531
Boyaca,15,Paya,15533
Boyaca,15,Paz de Rio,15537
Boyaca,15,Pesca,15542
Boyaca,15,Pisba,15550
Boyaca,15,Puerto Boyaca,15572
Boyaca,15,Quipama,15580
Boyaca,15,Ramiriqui,15599
Boyaca,15,Raquira,15600
Boyaca,15,Rondon,15621
Boyaca,15,Saboya,15632
Boyaca,15,Sachica,15638
Boyaca,15,Samaca,15646
Boyaca,15,San Eduardo,15660
Boyaca,15,San Jose de Pare,15664
Boyaca,15,San Luis de Gaceno,15667
Boyaca,15,San Mateo,15673
Boyaca,15,San Miguel de Sema,15676
Boyaca,15,San Pablo de Borbur,15681
Boyaca,15,Santana,15686
Boyaca,15,Santa Maria,15690
Boyaca,15,Santa Rosa de Viterbo,15693
Boyaca,15,Santa Sofia,15696
Boyaca,15,Sativanorte,15720
Boyaca,15,Sativasur,15723
Boyaca,15,Siachoque,15740
Boyaca,15,Soata,15753
